"method","I","B","C","G","seed","lp","projection","runtime","EI_Z","EI_V","MAE_Z","MAE_V","MAE_p"
"mult",100,50,10,8,7,"",TRUE,0.000268878,22.397031999413,6.0427988138956,0.559925799985324,7.55349851736949,0.015563780901265
"mult",100,50,10,8,7,"lp",TRUE,0.299876501,22.1873533337354,6.03452982806989,0.554683833343388,7.54316228508737,0.0154978622986815
"mult",100,50,10,8,7,"lp",FALSE,0.01979931,22.3543059256884,6.01333904783288,0.55885764814221,7.5166738097911,0.015563780901265
"mult",100,50,10,8,7,"project_lp",TRUE,0.077032727,22.1652194580875,6.01558748945143,0.554130486452187,7.51948436181429,0.0154773501034223
"mult",100,50,10,8,7,"project_lp",FALSE,0.004835499,22.3505594858239,6.00311741857574,0.558763987145597,7.50389677321968,0.015563780901265
"mult",100,50,10,8,8,"",TRUE,0.000300284,22.124412062246,7.22025198714467,0.553110301556149,9.02531498393084,0.0163411955397069
"mult",100,50,10,8,8,"lp",TRUE,0.299263961,22.0383778982377,7.16729305715563,0.550959447455942,8.95911632144454,0.0160361989974912
"mult",100,50,10,8,8,"lp",FALSE,0.018792268,22.2041973555537,7.20275479217959,0.555104933888841,9.00344349022448,0.0163411955397069
"mult",100,50,10,8,8,"project_lp",TRUE,0.031980984,21.9600166808627,7.12477488823557,0.549000417021567,8.90596861029447,0.0158265765013212
"mult",100,50,10,8,8,"project_lp",FALSE,0.002095838,22.1735090285991,7.19388248289644,0.554337725714977,8.99235310362055,0.0163411955397069
"mult",100,50,10,8,9,"",TRUE,0.000326647,21.2757503050321,5.93635221585358,0.531893757625802,7.42044026981697,0.0128209844076759
"mult",100,50,10,8,9,"lp",TRUE,0.293792675,21.186189956887,6.05901250776645,0.529654748922176,7.57376563470807,0.0131940832571891
"mult",100,50,10,8,9,"lp",FALSE,0.020679662,21.1868371812134,5.93787578001798,0.529670929530336,7.42234472502247,0.0128209844076759
"mult",100,50,10,8,9,"project_lp",TRUE,0.077800534,21.1785860528717,6.1359158295553,0.529464651321793,7.66989478694412,0.0132923273609877
"mult",100,50,10,8,9,"project_lp",FALSE,0.010604896,21.1698142003746,5.95158671726035,0.529245355009365,7.43948339657544,0.0128209844076759
"mult",100,50,10,8,10,"",TRUE,0.000279497,23.9166571690799,7.56525391159062,0.597916429226998,9.45656738948828,0.0180559244425831
"mult",100,50,10,8,10,"lp",TRUE,0.224919317,23.8865913348527,7.66506032114381,0.597164783371321,9.58132540142976,0.0182253859905157
"mult",100,50,10,8,10,"lp",FALSE,0.015466635,23.9151929998385,7.54930768652201,0.597879824995963,9.43663460815251,0.0180559244425831
"mult",100,50,10,8,10,"project_lp",TRUE,0.020870066,23.9200538350692,7.78466209652182,0.598001345876729,9.73082762065228,0.0185320785161786
"mult",100,50,10,8,10,"project_lp",FALSE,0.001086254,23.9094374401859,7.5549422527874,0.597735936004649,9.44367781598424,0.0180559244425831
"mvn_cdf",100,50,10,8,1,"",TRUE,0.060211288,23.8654459514239,6.93009398420917,0.596636148785596,8.66261748026147,0.0156094346512677
"mvn_cdf",100,50,10,8,1,"lp",TRUE,0.371329948,24.2764573587903,7.66911372788033,0.606911433969759,9.58639215985041,0.0172456369830769
"mvn_cdf",100,50,10,8,1,"lp",FALSE,0.079130164,23.7053800538895,6.94533584835079,0.592634501347237,8.68166981043848,0.0156094346512677
"mvn_cdf",100,50,10,8,1,"project_lp",TRUE,0.31268773,25.8359994909783,10.0723795997213,0.645899987274454,12.5904744996516,0.0215184994690158
"mvn_cdf",100,50,10,8,1,"project_lp",FALSE,0.061536367,23.7222513233881,6.97469903071747,0.593056283084704,8.71837378839683,0.0156094346512677
"mvn_cdf",100,50,10,8,2,"",TRUE,0.074804582,23.8654226864303,7.94545759258342,0.596635567160759,9.93182199072927,0.0202374013387307
"mvn_cdf",100,50,10,8,2,"lp",TRUE,0.899864802,24.4495497924634,8.85131183279422,0.611238744811586,11.0641397909928,0.0211007292710296
"mvn_cdf",100,50,10,8,2,"lp",FALSE,0.095657674,23.8756489289658,7.86829593103084,0.596891223224146,9.83536991378855,0.0202374013387307
"mvn_cdf",100,50,10,8,2,"project_lp",TRUE,0.17085766,24.2941148266877,8.71772453412062,0.607352870667191,10.8971556676508,0.0207327060328671
"mvn_cdf",100,50,10,8,2,"project_lp",FALSE,0.078791791,23.8575171076029,7.87544589647941,0.596437927690072,9.84430737059926,0.0202374013387307
"mvn_cdf",100,50,10,8,3,"",TRUE,0.083271,21.8159703544118,7.28802421009396,0.545399258860295,9.11003026261744,0.0153339888039677
"mvn_cdf",100,50,10,8,3,"lp",TRUE,0.785804606,22.3706006790914,7.73820604625189,0.559265016977283,9.67275755781486,0.0166535445796369
"mvn_cdf",100,50,10,8,3,"lp",FALSE,0.105674835,21.7573370666135,7.18613269231746,0.543933426665338,8.98266586539683,0.0153339888039677
"mvn_cdf",100,50,10,8,3,"project_lp",TRUE,0.353454973,22.5331254749457,8.10987706863702,0.563328136873643,10.1373463357963,0.0172959923531327
"mvn_cdf",100,50,10,8,3,"project_lp",FALSE,0.089200912,21.7920618709521,7.19878171700802,0.544801546773802,8.99847714626003,0.0153339888039677
"mvn_cdf",100,50,10,8,4,"",TRUE,0.084058487,21.8891138390811,5.71960153497456,0.547227845977028,7.1495019187182,0.0152548498355483
"mvn_cdf",100,50,10,8,4,"lp",TRUE,0.528020345,22.7837987693338,6.79091585406133,0.569594969233344,8.48864481757667,0.0168759639659812
"mvn_cdf",100,50,10,8,4,"lp",FALSE,0.108405681,21.8091278782256,5.52519720804095,0.545228196955639,6.90649651005119,0.0152548498355483
"mvn_cdf",100,50,10,8,4,"project_lp",TRUE,0.156735046,22.5925241123721,6.81033309333762,0.564813102809299,8.51291636667202,0.0180930874391287
"mvn_cdf",100,50,10,8,4,"project_lp",FALSE,0.087173954,21.8107854544419,5.57501367344638,0.545269636361047,6.96876709180798,0.0152548498355483
"mvn_cdf",100,50,10,8,5,"",TRUE,0.073287336,23.1178495224955,6.46720245659387,0.577946238062386,8.08400307074233,0.0148811551556403
"mvn_cdf",100,50,10,8,5,"lp",TRUE,1.185844722,24.5881320540349,8.21210249842133,0.614703301350873,10.2651281230267,0.019253621177267
"mvn_cdf",100,50,10,8,5,"lp",FALSE,0.096367425,22.9994317391547,6.32682693260559,0.574985793478866,7.908533665757,0.0148811551556403
"mvn_cdf",100,50,10,8,5,"project_lp",TRUE,0.301118268,24.4292980230164,8.13020973407361,0.610732450575407,10.162762167592,0.0193491716483317
"mvn_cdf",100,50,10,8,5,"project_lp",FALSE,0.076982871,22.9871001806749,6.28965623158602,0.574677504516872,7.86207028948252,0.0148811551556403
"mvn_cdf",100,50,10,8,6,"",TRUE,0.089681678,22.7952824238507,7.23963335253007,0.569882060596268,9.04954169066259,0.0168311742481821
"mvn_cdf",100,50,10,8,6,"lp",TRUE,0.875423882,22.9897587268593,7.90553412485198,0.574743968171483,9.88191765606498,0.017859039281081
"mvn_cdf",100,50,10,8,6,"lp",FALSE,0.112156074,22.637488682119,7.24429332807797,0.565937217052976,9.05536666009746,0.0168311742481821
